"","X.Cuvash.","X.Karachai.","X.Kazakh.","X.Khakass.","X.Kirghiz.","X.SouthAltaic.","X.Tatar.","X.Turkish.","X.Turkmen.","X.Tuvan.","X.Uzbek.","X.Yakut."
"154","1","1","1","1","1","1","1","1","1","1","1","0"
"155","1","1","0","0","0","0","0","1","1","0","0","0"
"156","0","1","0","1","0","0","0","1","1","0","0","0"
"157","1","1","1","0","1","0","1","1","1","0","1","0"
"158","1","1","1","1","1","1","1","1","1","0","1","1"
"159","0","1","1","0","1","0","0","1","1","0","0","0"
"160","1","1","1","0","1","0","1","1","1","0","1","0"
"161","0","1","1","1","1","1","1","1","1","0","1","0"
"162","0","1","1","0","1","0","1","1","0","0","1","0"
"163","1","0","0","0","0","1","1","0","0","0","0","0"
"164","0","1","1","0","1","0","1","1","1","0","0","0"
"165","1","1","1","1","0","0","1","1","1","0","1","1"
"166","0","0","1","0","1","0","1","0","0","0","1","0"
"167","0","1","1","1","1","1","1","1","1","1","1","1"
"168","1","1","1","1","1","1","1","1","0","0","0","0"
"169","1","1","1","1","1","0","1","1","1","0","1","0"
"170","1","1","1","0","0","0","1","1","1","0","0","0"
"171","1","1","1","1","1","0","1","1","1","1","1","0"
"172","1","1","1","1","1","1","1","1","1","1","1","1"
"173","0","0","1","1","1","0","0","0","0","1","0","0"
"174","1","1","1","1","1","1","1","1","1","0","1","0"
"175","0","1","1","1","1","1","1","1","1","1","1","1"
"176","0","1","1","1","1","1","1","1","0","1","1","1"
"177","1","0","1","1","1","0","1","1","0","0","1","0"
"178","1","1","1","1","1","1","1","1","1","0","1","0"
"179","1","1","1","1","1","1","1","1","1","1","1","1"
"180","1","1","1","1","1","1","1","1","1","1","1","1"
"181","0","0","0","0","0","0","0","1","0","0","0","1"
"182","0","0","0","0","1","0","0","0","0","1","1","1"
"183","1","1","1","1","1","1","1","1","1","0","1","0"
"184","0","0","1","1","1","1","1","1","0","1","0","0"
"185","0","1","0","0","0","0","0","1","1","0","0","0"
"186","1","1","1","1","1","1","1","1","1","1","1","0"
"187","1","0","0","0","0","0","1","0","1","0","0","0"
"188","1","1","1","1","1","0","1","1","1","1","1","1"
"189","1","0","0","1","0","1","0","1","1","1","0","1"
"190","0","1","1","1","1","1","1","1","1","1","1","0"
"191","1","1","1","0","1","1","1","1","1","0","0","0"
"192","0","1","1","1","1","1","1","1","1","1","1","0"
"193","1","1","1","1","1","1","1","1","1","1","1","1"
"194","1","1","1","1","1","1","1","1","1","1","1","1"
"195","1","1","1","0","1","0","1","1","1","0","1","0"
"196","0","0","1","0","1","0","0","1","1","1","1","0"
"197","1","1","1","0","1","1","0","0","1","0","1","0"
"198","0","1","0","0","0","0","0","1","1","0","1","0"
"199","0","0","1","0","0","0","1","1","0","1","0","1"
"200","0","1","1","1","1","1","1","1","1","1","1","1"
"201","1","1","1","0","1","0","1","1","1","1","1","1"
"202","0","1","0","0","0","1","0","1","1","0","0","0"
"203","0","0","1","0","0","0","1","0","1","0","1","0"
"204","0","0","0","1","1","1","1","1","0","1","0","1"
"205","0","0","0","1","1","0","0","0","0","1","0","1"
"206","1","1","1","1","1","1","1","1","1","1","1","1"
"207","0","0","0","0","0","0","0","1","0","0","0","0"
"208","0","0","1","1","1","1","1","1","0","1","0","1"
"209","1","1","1","1","1","1","1","1","1","1","1","1"
"210","0","0","0","0","0","0","0","0","0","0","0","0"
"211","0","1","1","1","1","1","1","1","1","1","1","1"
"212","0","1","1","0","0","0","0","1","1","0","0","0"
"213","0","1","1","1","1","1","1","1","1","0","1","1"
"214","1","1","1","0","1","1","1","1","1","1","1","0"
"215","1","1","1","0","1","1","1","1","1","1","1","0"
"216","0","1","1","0","1","0","1","1","0","0","1","0"
"217","0","1","1","0","1","1","1","1","1","0","1","0"
"218","0","1","1","0","1","0","1","1","1","0","1","0"
"219","1","1","1","1","1","1","1","1","1","1","1","1"
"220","0","1","1","1","1","1","1","0","0","0","1","0"
"221","0","1","1","0","1","1","1","0","0","0","0","1"
"222","0","1","1","1","1","1","1","1","0","1","1","1"
"223","1","1","1","0","1","0","1","1","1","0","0","0"
"224","1","1","1","1","1","1","1","1","1","1","1","1"
"225","0","0","1","1","0","0","0","0","0","0","0","1"
"226","1","1","1","1","1","1","1","1","1","1","1","1"
"227","1","1","1","1","1","1","1","1","1","0","1","1"
"228","0","1","0","1","0","1","1","1","1","1","1","0"
"229","1","1","0","1","0","0","0","1","0","0","1","1"
"230","0","1","1","1","1","1","1","1","1","1","1","1"
"231","1","1","1","1","1","1","1","1","1","1","1","1"
"232","0","0","1","0","1","0","0","0","0","0","1","0"
"233","0","0","1","0","1","0","0","0","0","0","1","0"
"234","1","1","1","1","1","1","1","1","0","1","1","0"
"235","1","1","1","1","1","1","1","1","1","1","1","1"
"236","1","1","1","1","1","1","1","1","1","0","1","1"
"237","0","1","1","1","1","1","1","1","1","1","1","0"
"238","0","0","0","0","0","0","0","0","0","1","0","1"
"239","0","1","1","1","1","1","1","1","1","1","1","1"
"240","1","1","1","1","1","1","1","1","1","1","1","0"
"241","1","1","1","1","1","1","1","1","1","0","1","1"
"242","1","1","1","0","1","0","1","1","1","0","1","0"
"243","0","1","1","1","1","1","1","1","1","0","1","0"
"244","1","1","1","1","1","1","1","1","1","0","1","0"
"245","1","1","1","1","1","1","1","1","1","1","1","1"
"246","1","1","1","1","1","1","1","1","1","1","1","1"
"247","1","1","1","1","1","1","0","1","1","1","1","1"
"248","1","1","1","0","1","0","1","1","1","0","1","0"
"249","1","1","1","1","1","1","1","0","1","1","1","1"
"250","1","1","1","1","1","0","0","0","0","1","1","1"
"251","1","1","0","1","0","0","1","0","0","0","0","0"
"252","1","1","1","1","1","0","1","1","1","1","1","1"
"253","0","1","1","1","1","1","1","1","1","1","1","1"
"254","0","1","1","0","1","1","1","1","0","0","1","1"
"255","0","0","0","1","0","0","0","0","0","1","0","1"
"256","1","1","1","1","1","1","1","1","0","1","1","0"
"257","1","1","1","1","1","1","1","1","1","1","1","1"
"258","1","1","1","1","1","1","1","1","1","1","1","0"
"259","0","1","1","1","1","0","1","1","1","1","1","1"
"260","0","1","1","0","1","1","1","1","0","1","1","0"
"261","1","0","1","1","1","1","1","0","0","0","1","0"
"262","0","1","1","1","1","1","1","1","1","1","1","1"
"263","1","1","0","1","1","0","1","1","1","1","1","0"
"264","0","1","1","1","1","1","1","1","1","1","1","0"
"265","1","1","1","1","1","1","1","1","1","1","1","1"
"266","0","0","1","0","1","0","0","1","1","0","1","1"
"267","0","0","1","1","1","0","1","1","0","1","0","1"
"268","0","1","0","1","1","1","0","1","0","1","0","1"
"269","1","0","1","0","1","1","1","1","1","0","1","1"
"270","0","0","1","0","1","0","1","0","0","0","0","0"
"271","0","0","1","1","1","1","0","0","0","0","0","0"
"272","1","1","1","1","1","1","1","1","1","1","1","1"
"273","0","0","1","1","1","1","1","1","0","1","1","1"
"274","0","1","1","1","1","1","1","1","1","1","1","1"
"275","0","1","1","1","1","0","1","1","0","0","1","0"
"276","0","1","1","1","1","1","1","1","1","1","1","1"
"277","0","0","1","1","1","1","1","0","1","1","0","1"
"278","1","1","1","1","1","1","1","1","1","1","1","0"
"279","0","1","1","0","1","0","1","1","1","0","0","0"
"280","1","1","0","0","0","0","1","1","0","0","1","0"
"281","0","1","1","1","1","1","0","0","0","1","1","0"
"282","0","1","1","0","1","0","1","1","1","1","1","1"
"283","0","0","1","1","0","0","1","0","0","1","1","1"
"284","1","1","1","1","1","1","1","1","1","1","1","0"
"285","1","1","1","1","1","1","1","1","1","1","1","1"
"286","0","1","1","1","1","1","1","1","1","1","1","0"
"287","0","1","1","0","1","0","1","1","1","1","0","0"
"288","1","1","1","1","1","1","1","1","1","1","1","1"
"289","0","1","1","0","1","1","1","0","1","0","0","1"
"290","1","1","1","0","1","1","1","1","1","0","1","0"
"291","0","1","0","0","0","0","0","1","0","0","0","1"
"292","0","1","1","1","1","1","1","1","1","1","1","1"
"293","0","1","1","1","1","0","1","1","1","1","0","0"
"294","1","1","1","1","1","1","1","0","0","1","1","0"
"295","1","1","1","1","1","1","0","1","1","1","1","0"
"296","0","1","1","1","1","0","1","0","1","1","0","1"
"297","0","0","1","0","1","0","0","0","0","1","1","0"
"298","0","1","0","1","1","1","1","0","0","1","1","0"
"299","1","1","1","1","1","1","1","1","1","1","1","1"
"300","1","1","1","0","1","0","0","0","1","1","1","1"
"301","0","0","0","0","1","0","0","0","0","1","0","1"
"302","0","0","0","0","1","0","0","0","0","1","0","1"
"303","1","1","1","1","1","1","1","1","1","1","1","0"
"304","0","0","0","0","0","0","1","1","0","0","0","0"
